currency,name,fullName,precision,isMarginEnabled,isDebitEnabled
SUSHI,sushi,sushiswap,8,True,True
UNFI,unfi,unifi protocol dao,8,False,False
ALPA,alpa,alpaca city,8,False,False
1INCH,1inch,1inch token,8,True,True
HTR,htr,hathor,8,False,True
FRONT,front,frontier,8,True,True
WBTC,wbtc,wrapped bitcoin,8,False,False
HYDRA,hydra,hydra,8,False,False
MIR,mir,mirror protocol,8,False,True
DFI,dfi,defichain,8,False,False
FRM,frm,ferrum network,8,False,False
CRV,crv,curve,8,True,True
BTC3L,btc3l,btc 3x long,8,False,False
BTC3S,btc3s,btc 3x short,8,False,False
ETH3L,eth3l,eth 3x long,8,False,False
ETH3S,eth3s,eth 3x short,8,False,False
GZIL,gzil,governance zil,8,False,False
PROPS,props,props token,8,False,False
ZEN,zen,horizen,8,False,True
CUDOS,cudos,cudos,8,False,False
MAP2,lzm,loungem,8,False,False
REN,ren,ren,8,True,True
LRC,lrc,loopringcoin v2,8,True,True
KLV,klv,klever,8,False,True
BOA,boa,bosagora,8,False,False
QNT,qnt,quant,8,True,True
BAT,bat,bat,8,True,True
DAO,dao,dao maker,8,True,True
DOGE,doge,dogecoin,8,True,True
STRONG,strong,strong,8,False,False
TRIAS,trias,trias,8,False,False
MITX,mitx,morpheus labs,8,False,False
CAKE,cake,pancakeswap token,8,True,True
ORAI,orai,oraichain token,8,False,False
BRG,brg,bridge token,8,False,False
LTX,ltx,lattice token,8,False,False
ZEE,zee,zeroswaptoken,8,False,False
MASK,mask,mask network,8,True,True
IDEA,idea,ideaology,8,False,False
PHA,pha,phala,8,False,True
SRK,srk,sparkpoint,8,False,False
SWINGBY,swingby,swingby,8,False,False
AVAX,avax,avalanche,8,True,True
DON,don,donnie_finance,8,False,False
KRL,krl,kryll,8,False,False
POLK,polk,polkamarkets,8,False,False
RNDR,rndr,render token,8,True,True
RLY,rly,rally,8,False,False
ANC,anc,anchor protocol,8,False,True
SKEY,skey,smartkey,8,False,False
LAYER,layer,unilayer,8,False,False
TARA,tara,taraxa coin,8,False,False
XYM,xym,symbol,8,False,False
DYP,dyp,dypius,8,False,False
